timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
21,21,2005-12-31,50,40,12,36.448417345682785,0.1962562341172797,2005-11-29,17.577250162760418,1.1804079369496907,40,50,4
22,22,2006-02-03,50,40,17,36.40699992460363,0.1603143551289519,2006-01-01,16.294529353871063,0.9924136936000668,40,50,4
23,23,2006-03-09,50,40,17,36.30282368379481,0.12227462952031083,2006-02-04,15.42658822676715,0.8136979275787996,40,50,4
24,24,2006-04-11,50,40,16,36.31573384602864,0.14072808455358024,2006-03-10,15.594562590122225,0.862526011285714,40,50,4
25,25,2006-05-14,50,40,26,36.2881591796875,0.13679935478987407,2006-04-12,16.16876928622906,0.8249744165739744,40,50,4
26,26,2006-06-16,50,40,18,36.36453204684787,0.10785979611974912,2006-05-15,17.333777639600967,0.7525682505780222,40,50,4
27,27,2006-07-19,50,40,18,36.364331775241425,0.11624631525845087,2006-06-17,17.796499782138397,1.1459404572936165,40,50,4
28,28,2006-08-21,50,40,22,36.31038891185414,0.1768798579656103,2006-07-20,18.231454502452504,1.5629911420797618,40,50,4
29,29,2006-09-23,50,40,22,36.3811228615897,0.1751599969852421,2006-08-22,18.77668181332675,1.5634758532252728,40,50,4
30,30,2006-10-26,50,40,28,36.457887195405505,0.19547569789751404,2006-09-24,20.754857199532644,1.459008036690819,40,50,4
31,31,2006-11-28,50,40,25,36.49700037638346,0.19379548742294253,2006-10-27,20.48547996520996,1.3128009955911422,40,50,4
32,32,2006-12-31,50,40,31,36.51895024226262,0.12683335747693167,2006-11-29,18.997064528926725,0.7556955130633438,40,50,4
33,33,2007-02-03,50,40,30,36.497898991902666,0.14158244166086878,2007-01-01,17.830633290608727,0.7942251717105054,40,50,4
34,34,2007-03-09,50,40,31,36.42082830575797,0.12716169123452226,2007-02-04,17.189257867874634,0.7526106134164674,40,50,4
35,35,2007-04-11,50,40,28,36.3839208984375,0.16047925643819286,2007-03-10,16.803321497780935,0.8496229420500928,40,50,4
36,36,2007-05-14,50,40,25,36.40124147588556,0.15485015443500488,2007-04-12,17.01103988647461,0.934037848122247,40,50,4
37,37,2007-06-16,50,40,33,36.454597345987956,0.11967678372247875,2007-05-15,17.798030361984715,0.8790039727329616,40,50,4
38,38,2007-07-19,50,40,35,36.5673418045044,0.13946341961402828,2007-06-17,19.23668567112514,1.0646379697298771,40,50,4
39,39,2007-08-21,50,40,32,36.64096477113921,0.13227553601544315,2007-07-20,20.624312341213226,0.9273437480941592,40,50,4
40,40,2007-09-23,50,40,32,36.664880423710265,0.14057759438544815,2007-08-22,21.11640638113022,1.056360176758822,40,50,4
41,41,2007-10-26,50,40,38,36.73737447402056,0.14280536543942368,2007-09-24,21.408710529929714,1.070009502146004,40,50,4
42,42,2007-11-28,50,40,44,36.745080375671385,0.12018613443812005,2007-10-27,20.825250018726692,0.7277544592980633,40,50,4
43,43,2007-12-31,50,40,39,36.66938627088392,0.10181810032873972,2007-11-29,19.239410449296997,0.6553687009240481,40,50,4
44,44,2008-02-03,50,40,47,36.60296462302984,0.07301405597370113,2008-01-01,18.204850988185154,0.6020006191897653,40,50,4
45,45,2008-03-08,50,40,41,36.58466777801514,0.07174026261711686,2008-02-04,17.83282921953899,0.5222316431103735,40,50,4
46,46,2008-04-11,50,40,32,36.544289827346795,0.09395881695672433,2008-03-09,17.504281103610992,0.4725728271182494,40,50,4
47,47,2008-05-14,50,40,35,36.544520241873606,0.0967120210729562,2008-04-12,17.758799852643694,0.39409449459884416,40,50,4
48,48,2008-06-16,50,40,34,36.53991407506607,0.13896546318905195,2008-05-15,18.20041174047133,0.7515323937369094,40,50,4
49,49,2008-07-19,50,40,29,36.58828524885506,0.17071856325369295,2008-06-17,19.242275698431605,1.0724395117737464,40,50,4
50,50,2008-08-21,50,40,33,36.70194209705699,0.3605932165549715,2008-07-20,20.025818304582074,1.8724051578644256,40,50,4
51,51,2008-09-23,50,40,33,36.71562553174568,0.1914607495672175,2008-08-22,21.616424271554656,1.617904720646636,40,50,4
52,52,2008-10-26,50,40,22,36.74562540921298,0.14787698558364534,2008-09-24,21.8272272456776,0.7314428248522052,40,50,4
53,53,2008-11-28,50,40,17,36.78638368494371,0.10316435948395926,2008-10-27,20.36088225420784,0.7219572208840831,40,50,4
54,54,2008-12-31,50,40,18,36.64857419331869,0.0975770030649227,2008-11-29,18.1559444003635,0.7772926518731031,40,50,4
55,55,2009-02-03,50,40,27,36.60285525851779,0.1063169363067096,2009-01-01,17.649592540882253,0.763214121558225,40,50,4
56,56,2009-03-09,50,40,30,36.50770606994629,0.10299468190164436,2009-02-04,16.816299883524575,0.6316516859018584,40,50,4
57,57,2009-04-11,50,40,28,36.48973029000418,0.10346381622725001,2009-03-10,16.761785677501134,0.617371259571629,40,50,4
58,58,2009-05-14,50,40,24,36.531780560811356,0.11087844577356094,2009-04-12,17.283291498819988,0.6028644895255266,40,50,4
59,59,2009-06-16,50,40,23,36.5654063017472,0.10743852846177132,2009-05-15,17.950565172278363,0.639412448101124,40,50,4
60,60,2009-07-19,50,40,24,36.51694361368815,0.20071914336793695,2009-06-17,18.50137488047282,1.0698625758193092,40,50,4
61,61,2009-08-21,50,40,27,36.438007919876654,0.2096524568355981,2009-07-20,19.03411095230668,1.4926761861894486,40,50,4
62,62,2009-09-23,50,40,25,36.637994232177725,0.20823521659637292,2009-08-22,20.85264015197754,2.098506789789459,40,50,4
63,63,2009-10-26,50,40,24,36.661967913309724,0.20866850860448055,2009-09-24,21.424041668574016,1.4125163379946752,40,50,4
64,64,2009-11-28,50,40,28,36.642455373491565,0.20836488888930252,2009-10-27,21.14448144700792,0.9505197836697316,40,50,4
65,65,2009-12-31,50,40,27,36.53851530287,0.18506509437198934,2009-11-29,19.30825911627875,1.0080262028656417,40,50,4
66,66,2010-02-03,50,40,28,36.44936302730015,0.18999103096572767,2010-01-01,17.687607049942017,1.1124988106223717,40,50,4
67,67,2010-03-09,50,40,24,36.43804423014323,0.14618511883361793,2010-02-04,17.208208441734314,0.8109158585939861,40,50,4
68,68,2010-04-11,50,40,24,36.36481157938639,0.15518062325158735,2010-03-10,16.679166356722515,0.8284438161925959,40,50,4
69,69,2010-05-14,50,40,27,36.40388163813839,0.1681614277961158,2010-04-12,17.14292589823405,0.901890999626105,40,50,4
70,70,2010-06-16,50,40,30,36.46321105957031,0.15418065572590015,2010-05-15,18.14043337504069,0.7812252711224322,40,50,4
71,71,2010-07-19,50,40,25,36.46959671020508,0.15790160723377325,2010-06-17,18.85195999145508,0.9883949845384248,40,50,4
